file,filter,mean,std,min,25%,50%,75%,max
PGC0000243_r.fits,r,7.6751604,54.301525,-22.46337,-2.0918936729431152,2.1627204418182373,7.167204856872559,3580.0195
PGC0000255_r.fits,r,2.6736736,76.81989,-7.675002,-0.9088603854179382,0.5097048878669739,2.1067068576812744,11342.428
PGC0000281_r.fits,r,29.67201,36.41094,-21.387749,6.779111862182617,17.201114654541016,42.368003845214844,318.9319
PGC0000212_r.fits,r,6.012554,91.62989,-12.80354,-1.7735893726348877,0.5710313320159912,3.186220169067383,7976.8325
PGC0000218_r.fits,r,7.6885104,93.076546,-4.9829445,-1.0687651634216309,0.0,1.8267711400985718,12354.6045
PGC0000548_r.fits,r,3.046413,16.204077,-22.929352,-2.8597373962402344,0.935668408870697,5.140622615814209,1318.7753
PGC0000635_r.fits,r,5.196221,21.769188,-21.835655,-2.1318039894104004,2.169034242630005,7.1675896644592285,1680.2524
PGC0000639_r.fits,r,4.5532665,36.23867,-22.595018,-3.0881388187408447,0.5578356385231018,4.705449104309082,2011.954
PGC0000647_r.fits,r,4.6415043,38.91328,-6.6383376,-0.23032566905021667,1.2539085149765015,3.1822102069854736,5956.491
PGC0000670_r.fits,r,0.49748975,20.077003,-23.209984,-4.001492500305176,-0.695788562297821,2.7344117164611816,2012.7675
PGC0000825_r.fits,r,46.826897,435.11908,-20.329544,1.0326721668243408,6.0547566413879395,15.21964168548584,16935.523
PGC0000963_r.fits,r,3.3065681,72.143585,-8.487488,-0.9348648190498352,0.5728029012680054,2.274529218673706,8517.455
PGC0001058_r.fits,r,3.8465164,73.7683,-14.945467,-2.157038450241089,0.4705301523208618,3.6337060928344727,11812.114
PGC0000282_r.fits,r,4.12806,27.009909,-23.115496,-2.673626661300659,1.6172595024108887,6.4404144287109375,3128.3474
PGC0000451_r.fits,r,0.6503428,10.036128,-22.721113,-3.6285858154296875,-0.1078447550535202,3.560041666030884,651.6259
PGC0003584_r.fits,r,6.7735624,89.60493,-14.316434,-1.7194818258285522,1.2009607553482056,4.93825626373291,11317.188
PGC0003620_r.fits,r,12.795738,63.67785,-20.817705,-1.5810977220535278,2.9607467651367188,8.920034408569336,4151.9224
PGC0001221_r.fits,r,18.380985,228.63911,-23.213728,-0.8990325927734375,3.62385630607605,9.187569618225098,18527.895
PGC0001224_r.fits,r,10.355073,50.90039,-21.578165,-1.326420783996582,3.139023780822754,8.397781372070312,3305.4656
PGC0001237_r.fits,r,4.8497825,30.865934,-23.447012,-3.1423683166503906,0.7399165630340576,4.995119094848633,1470.3922
PGC0001293_r.fits,r,15.063597,256.9006,-18.511509,-1.352266788482666,2.166971445083618,6.06453800201416,17131.227
PGC0001306_r.fits,r,14.1124115,75.0706,-20.350529,-0.1251303255558014,4.230289936065674,10.667718887329102,4818.145
