file,mean,std,min,25%,50%,75%,max
PGC0000281_r.fits,1,0,0,1,1,1,0
PGC0000825_r.fits,1,1,0,0,1,1,0
PGC0001221_r.fits,1,1,0,0,0,0,0
PGC0001309_r.fits,1,0,0,1,1,1,0
PGC0002332_r.fits,1,1,0,1,1,1,0
PGC0003451_r.fits,1,0,0,1,1,1,0
PGC0000281_g.fits,1,0,0,1,1,1,0
PGC0000825_g.fits,1,1,0,0,1,1,1
PGC0001221_g.fits,1,1,0,0,0,0,1
PGC0001309_g.fits,1,0,0,1,1,1,0
PGC0002332_g.fits,1,1,0,0,1,1,0
PGC0003451_g.fits,1,0,0,1,1,1,0
PGC0000281_u.fits,1,0,0,0,1,1,0
PGC0000825_u.fits,1,1,0,0,0,0,1
PGC0001221_u.fits,1,1,0,0,0,0,1
PGC0000281_i.fits,1,0,0,1,1,1,0
PGC0000825_i.fits,1,1,0,0,1,1,1
PGC0001309_i.fits,1,0,0,1,1,1,0
PGC0002332_i.fits,1,1,0,1,1,1,0
PGC0003451_i.fits,1,0,0,1,1,1,0
PGC0003563_i.fits,1,1,0,0,0,0,1
PGC0001293_r.fits,0,1,0,0,0,0,0
PGC0003563_g.fits,0,1,0,0,0,0,1
PGC0001293_g.fits,0,1,0,0,0,0,0
PGC0001805_g.fits,0,1,0,1,0,0,1
PGC0001933_g.fits,0,1,0,0,0,0,0
PGC0002182_g.fits,0,1,0,0,0,0,1
PGC0002269_g.fits,0,1,0,0,0,0,1
PGC0003072_g.fits,0,1,0,0,0,0,1
PGC0000255_u.fits,0,1,0,0,0,0,1
PGC0000212_u.fits,0,1,0,0,0,0,1
PGC0000963_u.fits,0,1,0,0,0,0,1
PGC0001293_u.fits,0,1,0,0,0,0,1
PGC0001805_u.fits,0,1,0,0,0,0,1
PGC0001932_u.fits,0,1,0,0,0,0,1
PGC0001933_u.fits,0,1,0,0,0,0,1
PGC0002035_u.fits,0,1,0,0,0,0,1
PGC0002269_u.fits,0,1,0,0,0,0,1
PGC0003072_u.fits,0,1,0,0,0,0,1
PGC0003377_u.fits,0,1,0,0,0,0,1
PGC0003563_u.fits,0,1,0,0,0,0,0
PGC0000282_g.fits,0,0,1,0,0,0,0
PGC0002149_i.fits,0,0,0,1,1,0,0
PGC0003072_r.fits,0,0,0,0,0,0,1
PGC0000255_g.fits,0,0,0,0,0,0,1
PGC0000963_g.fits,0,0,0,0,0,0,1
PGC0000647_i.fits,0,0,0,0,0,0,1
PGC0001805_i.fits,0,0,0,0,0,0,1
PGC0002889_i.fits,0,0,0,0,0,0,1
PGC0003072_i.fits,0,0,0,0,0,0,1
